index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
71.0,31,0,309974,7,13,0,5,3,3,1,0,0,40,22,0
72.0,29,6,162298,7,13,6,5,0,1,0,0,0,70,22,1
73.0,23,0,211678,14,10,3,9,4,1,0,0,0,40,22,0
74.0,79,0,124744,14,10,6,2,2,1,0,0,0,20,22,0
75.0,27,0,213921,11,9,3,7,3,1,0,0,0,40,31,0
76.0,40,0,32214,12,12,6,10,0,1,0,0,0,40,22,0
77.0,67,5,212759,8,6,6,6,0,1,0,0,0,2,22,0
78.0,18,0,309634,5,7,3,7,3,1,1,0,0,22,22,0
79.0,31,4,125927,6,4,6,8,0,1,0,0,0,40,22,0
80.0,18,0,446839,11,9,3,5,4,1,0,0,0,30,22,0
81.0,52,0,276515,7,13,6,7,0,1,0,0,0,40,15,0
82.0,46,0,51618,11,9,6,7,5,1,1,0,0,40,22,0
83.0,59,0,159937,11,9,6,5,0,1,0,0,0,48,22,0
84.0,44,0,343591,11,9,1,12,4,1,1,14344,0,40,22,1
85.0,53,0,346253,11,9,1,5,3,1,1,0,0,35,22,0
86.0,49,4,268234,11,9,6,1,0,1,0,0,0,40,22,1
87.0,33,0,202051,0,14,6,2,0,1,0,0,0,50,22,0
88.0,30,0,54334,4,5,3,5,4,1,0,0,0,40,22,0
89.0,43,8,410867,13,16,3,2,4,1,1,0,0,50,22,1
90.0,57,0,249977,15,11,6,2,0,1,0,0,0,40,22,0
91.0,37,0,286730,14,10,1,12,1,1,1,0,0,40,22,0
92.0,28,0,212563,14,10,1,9,1,3,1,0,0,25,22,0
93.0,30,0,117747,11,9,6,5,5,4,1,0,1573,35,39,0
94.0,34,4,226296,7,13,6,1,0,1,0,0,0,40,22,1
95.0,29,4,115585,14,10,3,14,4,1,0,0,0,50,22,0
96.0,48,6,191277,13,16,6,2,0,1,0,0,1902,60,22,1
97.0,37,0,202683,14,10,6,5,0,1,0,0,0,48,22,1
98.0,48,0,171095,12,12,1,4,1,1,1,0,0,40,3,0
99.0,32,8,249409,11,9,3,7,3,3,0,0,0,40,22,0
100.0,76,0,124191,0,14,6,4,0,1,0,0,0,40,22,1
101.0,44,0,198282,7,13,6,4,0,1,0,15024,0,60,22,1
102.0,47,6,149116,0,14,3,2,4,1,1,0,0,50,22,0
103.0,20,0,188300,14,10,3,13,3,1,1,0,0,40,22,0
104.0,29,0,103432,11,9,3,12,4,1,0,0,0,40,22,0
105.0,32,7,317660,11,9,6,12,0,1,0,7688,0,40,22,1
106.0,17,5,304873,8,6,3,6,3,1,1,34095,0,32,22,0
107.0,30,0,194901,5,7,3,14,3,1,0,0,0,40,22,0
108.0,31,4,189265,11,9,3,10,4,1,1,0,0,40,22,0
109.0,42,0,124692,11,9,6,14,0,1,0,0,0,40,22,0
110.0,24,0,432376,7,13,3,5,2,1,0,0,0,40,22,0
111.0,38,0,65324,10,15,6,2,0,1,0,0,0,40,22,1
112.0,56,6,335605,11,9,6,7,0,1,0,0,1887,50,30,1
113.0,28,0,377869,14,10,6,5,5,1,1,4064,0,25,22,0
114.0,36,0,102864,11,9,3,9,3,1,1,0,0,40,22,0
115.0,53,0,95647,4,5,6,14,0,1,0,0,0,50,22,0
116.0,56,7,303090,14,10,6,5,0,1,0,0,0,50,22,0
117.0,49,4,197371,15,11,6,12,0,3,0,0,0,40,22,1
118.0,55,0,247552,14,10,6,5,0,1,0,0,0,56,22,0
119.0,22,0,102632,11,9,3,12,4,1,0,0,0,41,22,0
120.0,21,0,199915,14,10,3,7,3,1,1,0,0,40,22,0
121.0,40,0,118853,7,13,6,4,0,1,0,0,0,60,22,0
122.0,30,0,77143,7,13,3,4,3,3,0,0,0,40,0,0
123.0,29,3,267989,7,13,6,2,0,1,0,0,0,50,22,1
124.0,19,0,301606,14,10,3,7,3,3,0,0,0,35,22,0
125.0,47,0,287828,7,13,6,4,5,1,1,0,0,40,22,1
126.0,20,0,111697,14,10,3,10,3,1,1,0,1719,28,22,0
127.0,31,0,114937,12,12,6,10,0,1,0,0,0,40,22,1
128.0,35,5,129305,11,9,6,6,0,1,0,0,0,40,22,0
129.0,39,0,365739,14,10,1,12,4,1,0,0,0,40,22,0
130.0,28,0,69621,12,12,3,5,4,1,1,0,0,60,22,0
131.0,24,0,43323,11,9,3,7,4,1,1,0,1762,40,22,0
132.0,38,6,120985,11,9,6,12,0,1,0,4386,0,35,22,0
133.0,37,0,254202,7,13,6,5,0,1,0,0,0,50,22,0
134.0,46,0,146195,12,12,1,13,4,3,1,0,0,36,22,0
135.0,38,8,125933,0,14,6,2,0,1,0,0,0,40,25,1
136.0,43,6,56920,11,9,6,12,0,1,0,0,0,60,22,0
137.0,27,0,163127,15,11,6,10,5,1,1,0,0,35,22,0
138.0,20,0,34310,14,10,3,5,3,1,0,0,0,20,22,0
139.0,49,0,81973,14,10,6,12,0,4,0,0,0,40,22,1
140.0,61,7,66614,11,9,6,12,0,1,0,0,0,40,22,0
141.0,27,0,232782,14,10,3,5,3,1,1,0,0,40,22,0
142.0,19,0,316868,14,10,3,7,3,1,0,0,0,30,31,0
143.0,45,0,196584,15,11,3,2,4,1,1,0,1564,40,22,1
144.0,70,0,105376,14,10,3,13,2,1,0,0,0,40,22,0
145.0,31,0,185814,11,9,3,0,1,3,1,0,0,30,22,0
146.0,22,0,175374,14,10,6,7,0,1,0,0,0,24,22,0
147.0,36,0,108293,11,9,2,7,1,1,1,0,0,24,22,0
148.0,64,0,181232,5,7,6,12,0,1,0,0,2179,40,22,0
149.0,43,5,174662,14,10,1,6,4,1,1,0,0,40,22,0
150.0,47,4,186009,14,10,1,10,1,1,1,0,0,38,31,0
151.0,34,0,198183,11,9,3,10,4,1,1,0,0,40,22,0
152.0,33,0,163003,7,13,3,4,2,4,1,0,0,40,20,0
153.0,21,0,296158,11,9,3,12,3,1,0,0,0,35,22,0
154.0,52,5,252903,11,9,1,6,4,1,0,0,0,45,22,1
155.0,48,0,187715,11,9,6,12,0,1,0,0,0,46,22,0
156.0,23,0,214542,7,13,3,14,4,1,0,0,0,40,22,0
157.0,71,6,494223,14,10,0,5,1,3,0,0,1816,2,22,0
158.0,29,0,191535,11,9,1,12,4,1,0,0,0,60,22,0
159.0,42,0,228456,7,13,0,7,2,3,0,0,0,50,22,0
160.0,68,5,38317,1,2,1,6,4,1,1,0,0,20,22,0
161.0,25,0,252752,11,9,3,7,1,1,1,0,0,40,22,0
162.0,44,7,78374,0,14,1,4,1,4,1,0,0,40,22,0
163.0,28,0,88419,11,9,3,4,4,4,1,0,0,40,3,0
164.0,45,6,201080,0,14,6,5,0,1,0,0,0,40,22,1
165.0,36,0,207157,14,10,1,7,1,1,1,0,0,40,31,0
166.0,39,8,235485,12,12,3,4,4,1,0,0,0,42,22,0
167.0,46,3,102628,0,14,2,1,1,1,0,0,0,40,22,0
168.0,18,0,25828,5,7,3,14,3,1,0,0,0,16,22,0
169.0,66,4,54826,15,11,2,2,4,1,1,0,0,20,22,0
170.0,27,0,124953,11,9,3,7,4,1,0,0,1980,40,22,0
171.0,28,3,175325,11,9,6,1,0,1,0,0,0,40,22,0
172.0,51,0,96062,14,10,6,5,0,1,0,0,1977,40,22,1
173.0,27,0,428030,7,13,3,12,4,1,0,0,0,50,22,0
174.0,28,3,149624,7,13,6,2,0,1,0,0,0,40,22,1
175.0,27,0,253814,11,9,4,5,1,1,1,0,0,25,22,0
176.0,21,0,312956,11,9,3,12,3,3,0,0,0,40,22,0
177.0,34,0,483777,11,9,3,14,4,3,0,0,0,40,22,0
178.0,18,0,183930,11,9,3,7,3,1,0,0,0,12,22,0
179.0,33,0,37274,7,13,6,2,0,1,0,0,0,65,22,0
180.0,44,4,181344,14,10,6,4,0,3,0,0,0,38,22,1
181.0,43,0,114580,14,10,1,10,4,1,1,0,0,40,22,0
182.0,30,0,633742,14,10,3,12,4,3,0,0,0,45,22,0
183.0,40,0,286370,6,4,6,9,0,1,0,0,0,40,31,1
184.0,37,8,29054,14,10,6,10,0,1,0,0,0,42,22,1
185.0,34,0,304030,11,9,6,10,0,3,0,0,0,40,22,0
186.0,41,6,143129,7,13,1,4,4,1,1,0,0,40,22,0
187.0,53,5,135105,7,13,1,6,4,1,1,0,0,50,22,0
188.0,31,0,99928,0,14,6,2,5,1,1,0,0,50,22,0
189.0,58,3,109567,13,16,6,2,0,1,0,0,0,1,22,1
190.0,38,0,155222,14,10,1,9,4,3,1,0,0,28,22,0
191.0,24,0,159567,14,10,6,9,0,1,0,0,0,40,22,0
192.0,41,4,523910,7,13,6,12,0,3,0,0,0,40,22,0
193.0,47,0,120939,14,10,6,13,0,1,0,0,0,45,22,0
194.0,41,8,130760,7,13,6,13,0,1,0,0,0,24,22,0
195.0,23,0,197387,2,3,6,0,2,1,0,0,0,40,31,0
196.0,36,0,99374,14,10,1,12,4,1,0,0,0,40,22,0
197.0,40,8,56795,0,14,3,4,4,1,1,14084,0,55,22,1
198.0,35,0,138992,0,14,6,2,2,1,0,7298,0,40,22,1
199.0,24,6,32921,11,9,3,5,4,1,0,0,0,40,22,0
200.0,26,0,397317,0,14,3,2,4,1,1,0,1876,40,22,0
201.0,19,5,170653,11,9,3,6,3,1,0,0,0,40,1,0
202.0,51,0,259323,7,13,6,4,0,1,0,0,0,50,22,1
203.0,42,4,254817,14,10,3,2,4,1,1,0,1340,40,22,0
204.0,37,3,48211,11,9,1,10,1,1,1,0,0,35,22,0
205.0,18,0,140164,5,7,3,5,3,1,1,0,0,40,22,0
206.0,36,0,128757,7,13,6,7,0,3,0,7298,0,36,22,1
207.0,35,0,36270,11,9,1,12,4,1,0,0,0,60,22,0
208.0,58,7,210563,11,9,6,5,5,1,1,15024,0,35,22,1
209.0,17,0,65368,5,7,3,5,3,1,1,0,0,12,22,0
210.0,44,4,160943,11,9,6,0,0,3,0,0,0,40,22,0
211.0,37,0,208358,11,9,6,12,0,1,0,0,0,40,22,1
212.0,35,0,153790,14,10,3,5,4,0,1,0,0,40,22,0
213.0,60,0,85815,11,9,6,12,0,4,0,0,0,40,22,0
214.0,54,7,125417,6,4,6,9,0,1,0,0,0,40,22,1
215.0,37,0,635913,7,13,3,4,4,3,0,0,0,60,22,1
216.0,50,0,313321,12,12,1,5,4,1,1,0,0,40,22,0
217.0,38,0,182609,7,13,6,5,0,1,0,0,0,50,26,0
218.0,45,0,109434,7,13,6,2,0,1,0,0,0,55,22,0
219.0,25,0,255004,8,6,3,12,4,1,0,0,0,40,22,0
220.0,31,0,197860,14,10,6,14,0,1,0,0,0,40,22,0
221.0,64,5,187656,1,2,1,6,4,1,0,0,0,40,22,0
222.0,90,0,51744,11,9,3,7,4,3,0,0,2206,40,22,0
223.0,54,0,176681,11,9,6,10,0,3,0,0,0,20,22,0
224.0,53,4,140359,3,1,3,9,4,1,1,0,0,35,22,0
225.0,18,0,243313,11,9,3,5,3,1,1,0,0,40,22,0
226.0,60,5,24215,8,6,1,6,4,0,1,0,0,10,22,0
227.0,66,6,167687,11,9,6,8,0,1,0,1409,0,50,22,0
228.0,75,0,314209,15,11,2,10,4,1,1,0,0,20,29,0
229.0,65,0,176796,11,9,1,10,4,1,1,0,0,40,22,0
230.0,35,0,538583,5,7,0,0,4,3,0,3674,0,40,22,0
231.0,41,0,130408,11,9,1,5,1,3,1,0,0,38,22,0
232.0,25,0,159732,14,10,3,10,4,1,0,0,0,42,22,0
233.0,33,0,110978,14,10,1,12,2,2,1,0,0,40,22,0
234.0,28,0,76714,10,15,3,2,4,1,0,0,0,55,22,1
235.0,59,3,268700,11,9,6,7,0,1,0,0,0,40,22,0
236.0,40,3,170525,14,10,3,10,4,1,1,0,0,38,22,0
237.0,41,0,180138,7,13,6,4,0,1,0,0,0,50,25,1
238.0,38,4,115076,0,14,6,4,0,1,0,0,0,70,22,1
239.0,23,0,115458,11,9,3,0,3,1,0,0,0,40,22,0
240.0,40,0,347890,7,13,6,2,0,1,0,0,0,40,22,1
241.0,41,6,196001,11,9,6,7,5,1,1,0,0,20,22,0
242.0,24,3,273905,12,12,6,1,0,1,0,0,0,50,22,0
243.0,20,5,119156,14,10,3,6,3,1,0,0,0,20,22,0
244.0,38,0,179488,14,10,1,12,4,1,0,0,1741,40,22,0
245.0,56,0,203580,11,9,6,10,0,1,0,0,0,35,39,0
246.0,58,0,236596,11,9,6,10,0,1,0,0,0,45,22,1
247.0,32,0,183916,11,9,3,7,4,1,1,0,0,34,22,0
248.0,40,0,207578,12,12,6,13,0,1,0,0,1977,60,22,1
249.0,45,0,153141,11,9,6,10,0,1,0,0,0,40,39,0
250.0,41,0,112763,10,15,6,2,5,1,1,0,0,40,22,1
251.0,42,0,390781,7,13,6,10,5,3,1,0,0,40,22,0
252.0,59,4,171328,8,6,2,7,1,3,1,0,0,30,22,0
253.0,19,4,27382,14,10,3,10,3,1,0,0,0,40,22,0
254.0,58,0,259014,14,10,3,0,4,1,0,0,0,20,22,0
255.0,42,6,303044,11,9,6,8,0,4,0,0,0,40,19,1
256.0,20,0,117789,11,9,3,7,3,1,1,0,0,40,22,0
257.0,32,0,172579,11,9,0,7,4,1,1,0,0,30,22,0
258.0,45,0,187666,15,11,2,4,4,1,1,0,0,45,22,0
259.0,50,0,204518,6,4,1,12,4,1,0,0,0,40,22,0
260.0,36,0,150042,7,13,1,2,3,1,1,0,0,40,22,0
261.0,45,0,98092,11,9,6,5,0,1,0,0,0,60,22,0
262.0,17,0,245918,5,7,3,7,3,1,0,0,0,12,22,0
263.0,59,0,146013,14,10,6,5,0,1,0,4064,0,40,22,0
264.0,26,0,378322,5,7,6,12,0,1,0,0,0,40,22,0
265.0,37,7,257295,14,10,6,4,0,4,0,0,0,75,34,1
266.0,19,5,218956,14,10,3,6,3,1,0,0,0,24,30,0
267.0,64,0,21174,11,9,6,4,0,1,0,0,0,40,22,1
268.0,33,0,185480,7,13,3,2,4,1,1,0,0,45,22,0
269.0,33,0,222205,11,9,6,12,5,1,1,0,0,40,22,1
270.0,61,0,69867,11,9,6,4,0,1,0,0,0,40,22,1
271.0,17,0,191260,4,5,3,7,3,1,0,1055,0,24,22,0
272.0,50,6,30653,0,14,6,8,0,1,0,2407,0,98,22,0
273.0,27,4,209109,0,14,3,2,3,1,0,0,0,35,22,0
274.0,30,0,70377,11,9,1,2,3,1,1,0,0,40,22,0
275.0,43,0,477983,11,9,6,14,0,3,0,0,0,40,22,0
276.0,44,0,170924,14,10,6,12,0,1,0,7298,0,40,22,1
277.0,35,0,190174,14,10,3,4,4,1,1,0,0,40,22,0
278.0,25,0,193787,14,10,3,13,3,1,1,0,0,40,22,0
279.0,24,0,279472,14,10,6,9,5,1,1,7298,0,48,22,1
280.0,22,0,34918,7,13,3,2,4,1,1,0,0,15,0,0
281.0,42,4,97688,14,10,6,12,0,1,0,5178,0,40,22,1
282.0,34,0,175413,12,12,1,5,1,3,1,0,0,45,22,0
283.0,60,0,173960,7,13,1,2,4,1,1,0,0,42,22,0
284.0,21,0,205759,11,9,3,14,3,1,0,0,0,40,22,0
285.0,57,8,425161,0,14,6,5,0,1,0,15024,0,40,22,1
286.0,41,0,220531,10,15,6,2,0,1,0,0,0,60,22,1
287.0,50,0,176609,14,10,1,7,4,1,0,0,0,45,22,0
288.0,25,0,371987,7,13,3,4,4,1,1,0,0,40,22,0
289.0,50,0,193884,6,4,6,12,0,1,0,0,0,40,14,0
290.0,36,0,200352,7,13,6,2,0,1,0,0,0,45,22,0
291.0,31,0,127595,11,9,1,2,4,1,1,0,0,40,22,0
292.0,29,4,220419,7,13,3,1,4,1,0,0,0,56,22,0
293.0,21,0,231931,14,10,3,5,3,1,0,0,0,45,22,0
294.0,27,0,248402,7,13,3,13,1,3,1,0,0,40,22,0
295.0,65,0,111095,11,9,6,0,0,1,0,0,0,16,22,0
296.0,37,7,57424,7,13,1,5,4,1,1,0,0,60,22,0
297.0,39,5,157443,0,14,6,6,5,4,1,3464,0,40,39,0
298.0,24,0,278130,11,9,3,12,3,1,0,0,0,40,22,0
299.0,38,0,169469,11,9,1,5,4,1,0,0,0,80,22,0
300.0,48,0,146268,7,13,6,10,0,1,0,7688,0,40,22,1
301.0,21,0,153718,14,10,3,7,4,4,1,0,0,25,22,0
302.0,31,0,217460,11,9,6,0,0,1,0,0,0,45,22,1
303.0,55,0,238638,11,9,6,5,0,1,0,4386,0,40,22,1
304.0,24,0,303296,14,10,6,10,5,4,1,0,0,40,5,0
305.0,43,0,173321,11,9,1,10,4,1,1,0,0,40,22,0
306.0,26,0,193945,12,12,3,13,4,1,0,0,0,45,22,0
307.0,46,0,83082,12,12,3,2,4,1,1,0,0,33,22,0
308.0,35,0,193815,12,12,6,10,0,1,0,0,0,40,22,1
309.0,41,7,34987,14,10,6,8,0,1,0,0,0,54,22,1
310.0,26,0,59306,7,13,3,5,4,1,0,0,0,40,22,0
311.0,34,0,142897,0,14,6,4,0,4,0,7298,0,35,9,1
312.0,19,5,860348,14,10,3,6,3,3,1,0,0,25,22,0
313.0,36,6,205607,7,13,1,2,4,3,1,0,0,40,22,1
314.0,22,0,199698,14,10,3,5,3,1,0,0,0,15,22,0
315.0,24,0,191954,14,10,3,9,4,1,0,0,0,40,22,0
316.0,77,6,138714,14,10,6,5,0,1,0,0,0,40,22,0
317.0,22,0,399087,2,3,6,9,2,1,1,0,0,40,31,0
318.0,29,0,423158,14,10,3,13,4,1,1,0,0,40,22,0
319.0,62,0,159841,11,9,2,7,4,1,1,0,0,24,22,0
320.0,39,6,174308,11,9,6,4,0,1,0,0,0,40,22,0
321.0,43,0,50356,14,10,6,12,0,1,0,0,1485,50,22,0
322.0,35,0,186110,11,9,1,0,4,1,0,0,0,45,22,0
323.0,29,0,200381,5,7,3,4,4,1,1,0,0,40,22,0
324.0,76,6,174309,0,14,6,12,0,1,0,0,0,10,22,0
325.0,63,6,78383,11,9,6,8,0,1,0,0,0,45,22,0
326.0,23,5,211601,15,11,3,6,3,3,1,0,0,15,22,0
327.0,43,0,187728,14,10,6,2,5,1,1,0,1887,50,22,1
328.0,58,6,321171,11,9,6,14,0,1,0,0,0,40,22,0
329.0,66,0,127921,11,9,3,0,4,1,0,2050,0,55,22,0
330.0,41,0,206565,14,10,3,12,4,3,0,0,0,45,22,0
331.0,26,0,224563,7,13,3,10,4,1,0,0,0,40,22,0
332.0,47,0,178686,15,11,3,7,4,1,0,0,0,40,22,0
333.0,55,4,98545,8,6,6,10,0,1,0,0,0,40,22,0
334.0,53,0,242606,11,9,6,0,0,1,0,0,0,40,22,0
335.0,17,0,270942,2,3,3,7,2,1,0,0,0,48,31,0
336.0,30,0,94235,11,9,3,12,2,1,0,0,0,40,22,0
337.0,49,0,71195,0,14,3,2,4,1,0,0,0,60,22,0
338.0,19,0,104112,11,9,3,5,1,3,0,0,0,30,33,0
339.0,45,0,261192,11,9,6,7,0,3,0,0,0,40,22,0
340.0,26,0,94936,12,12,3,5,4,1,0,0,0,40,22,0
341.0,38,0,296478,15,11,6,12,0,1,0,7298,0,40,22,1
342.0,36,3,119272,11,9,6,1,0,1,0,7298,0,40,22,1
343.0,33,0,85043,11,9,3,8,4,1,0,0,0,20,22,0
344.0,22,3,293364,14,10,3,1,3,3,1,0,0,40,22,0
345.0,43,6,241895,7,13,3,5,4,1,0,0,0,42,22,0
346.0,67,5,36135,5,7,6,6,0,1,0,0,0,8,22,0
347.0,30,5,151989,15,11,1,6,1,1,1,0,0,40,22,0
348.0,56,0,101128,12,12,4,7,4,1,0,0,0,25,25,0
349.0,31,0,156464,7,13,3,2,3,1,0,0,0,25,22,0
350.0,33,0,117963,7,13,6,4,0,1,0,0,0,40,22,1
351.0,26,0,192262,11,9,6,7,0,1,0,0,0,40,22,0
352.0,33,0,111363,7,13,6,4,0,1,0,0,0,40,22,1
353.0,46,4,329752,5,7,6,0,0,1,0,0,0,30,22,0
354.0,59,5,372020,7,13,6,6,0,1,0,0,0,40,22,1
355.0,38,8,95432,11,9,6,10,0,1,0,0,0,40,22,1
356.0,65,0,161400,5,7,2,7,1,2,0,0,0,40,22,0
357.0,40,0,96129,15,11,6,13,0,1,0,0,0,40,22,1
358.0,42,0,111949,11,9,6,10,5,1,1,0,0,35,22,0
359.0,26,6,117125,4,5,6,12,0,1,0,0,0,40,10,0
360.0,36,0,348022,8,6,6,7,5,1,1,0,0,24,22,0
361.0,62,0,270092,0,14,6,2,0,1,0,0,0,40,22,1
362.0,43,0,180609,7,13,6,0,0,1,0,0,0,45,22,0
363.0,43,0,174575,7,13,1,4,4,1,0,0,1564,45,22,1
364.0,22,0,410439,11,9,4,5,4,1,0,0,0,55,22,0
365.0,28,0,92262,11,9,6,12,0,1,0,0,0,40,22,0
366.0,56,6,183081,14,10,6,5,0,1,0,0,0,45,22,0
367.0,22,0,362589,12,12,3,5,4,1,1,0,0,15,22,0
368.0,57,0,212448,7,13,1,4,4,1,1,0,0,45,22,1
369.0,39,0,481060,11,9,1,5,1,1,1,0,0,40,22,0
370.0,26,8,185885,14,10,3,10,1,1,1,0,0,15,22,0
371.0,17,0,89821,5,7,3,7,3,1,0,0,0,10,22,0
372.0,40,3,184018,15,11,6,9,0,1,0,0,0,38,22,1
373.0,45,0,256649,11,9,6,9,0,3,0,0,0,40,22,0
374.0,44,0,160323,11,9,3,12,4,3,0,0,0,40,22,0
375.0,20,4,350845,14,10,3,10,3,1,1,0,0,10,22,0
376.0,33,0,267404,11,9,6,12,5,1,1,0,0,40,22,0
377.0,23,0,35633,14,10,3,5,4,1,0,0,0,40,22,0
378.0,46,6,80914,0,14,1,4,4,1,0,0,0,30,22,0
379.0,38,0,172927,11,9,6,5,0,1,0,0,0,50,22,0
380.0,54,0,174319,11,9,1,0,4,1,0,0,0,40,22,0
381.0,46,0,214955,2,3,1,12,4,1,1,0,2339,45,22,0
382.0,25,0,344991,14,10,6,12,0,1,0,0,0,40,22,0
383.0,46,0,108699,14,10,1,5,4,1,1,0,0,40,22,0
384.0,36,4,117312,14,10,6,0,5,1,1,0,0,40,22,0
385.0,23,0,396099,11,9,3,7,4,1,1,0,0,25,22,0
386.0,29,0,134152,11,9,0,9,4,1,0,0,0,40,22,0
387.0,44,0,162028,14,10,6,10,5,1,1,0,2415,6,22,1
388.0,19,0,25429,14,10,3,10,3,1,1,0,0,16,22,0
389.0,19,0,232392,11,9,3,7,2,1,1,0,0,40,22,0
390.0,35,0,220098,11,9,6,7,5,1,1,0,0,40,22,1
391.0,27,0,301302,7,13,3,12,4,1,0,0,0,50,22,0
392.0,46,6,277946,12,12,0,12,4,1,0,0,0,40,22,0
393.0,34,3,98101,7,13,6,4,0,1,0,7688,0,45,39,1
